CountyFIPS_Year,County,PM2.5Value,Year,CancerRate,CancerCount,TotalPopulation,COPDCount
22117_2010,WASHINGTON,9.6,2010,82.7,48,47083,206
22117_2011,WASHINGTON,9.2,2011,98.5,56,47125,193
22117_2012,WASHINGTON,9,2012,103.2,60,46675,191
22117_2013,WASHINGTON,8.4,2013,83.8,50,46412,170
22117_2014,WASHINGTON,9.1,2014,48.2,31,46320,131
22117_2015,WASHINGTON,9.3,2015,80.8,51,46365,157
22117_2016,WASHINGTON,8.5,2016,76,45,46414,89
22117_2017,WASHINGTON,8.8,2017,66.1,45,46678,64
22117_2018,WASHINGTON,9,2018,68.9,46,46601,35
22117_2019,WASHINGTON,8.8,2019,100.2,66,46158,20
22119_2010,WEBSTER,10.3,2010,77.9,41,41202,176
22119_2011,WEBSTER,10.2,2011,80,43,41248,175
22119_2012,WEBSTER,10.3,2012,77.2,44,40914,215
22119_2013,WEBSTER,10.1,2013,100.9,55,40669,184
22119_2014,WEBSTER,9.9,2014,79.7,43,40292,164
22119_2015,WEBSTER,9.7,2015,75.9,43,40067,155
22119_2016,WEBSTER,9.5,2016,83.7,48,39750,170
22119_2017,WEBSTER,9.8,2017,47.5,28,39268,129
22119_2018,WEBSTER,10.1,2018,79.1,46,38780,118
22119_2019,WEBSTER,9.9,2019,64.6,39,38323,143
22121_2010,WEST BATON ROUGE,11.2,2010,73.9,17,23964,43
22121_2011,WEST BATON ROUGE,11.1,2011,^,^,24125,35
22121_2012,WEST BATON ROUGE,9.9,2012,82.6,21,24170,25
22121_2013,WEST BATON ROUGE,8.8,2013,69.7,19,24682,29
22121_2014,WEST BATON ROUGE,8.9,2014,84.3,22,25229,23
22121_2015,WEST BATON ROUGE,8.9,2015,93.5,27,25596,21
22121_2016,WEST BATON ROUGE,9,2016,73.1,22,25942,30
22121_2017,WEST BATON ROUGE,9.1,2017,68.9,21,26238,28
22121_2018,WEST BATON ROUGE,9.3,2018,60.4,19,26451,17
22121_2019,WEST BATON ROUGE,9,2019,82.5,23,26550,18
22123_2010,WEST CARROLL,10.3,2010,^,^,11577,23
22123_2011,WEST CARROLL,9.8,2011,^,^,11521,37
22123_2012,WEST CARROLL,9.9,2012,^,^,11500,20
22123_2013,WEST CARROLL,9.5,2013,^,^,11452,19
22123_2014,WEST CARROLL,9.6,2014,102.2,16,11526,19
22123_2015,WEST CARROLL,8.8,2015,^,^,11287,21
22123_2016,WEST CARROLL,8.4,2016,^,^,11144,25
22123_2017,WEST CARROLL,8.5,2017,^,^,10967,26
22123_2018,WEST CARROLL,8.8,2018,^,^,11008,18
22123_2019,WEST CARROLL,8.5,2019,^,^,10906,16
22125_2010,WEST FELICIANA,9.8,2010,87.3,16,15636,24
22125_2011,WEST FELICIANA,9.3,2011,^,^,15511,14
22125_2012,WEST FELICIANA,9.1,2012,^,^,15471,23
22125_2013,WEST FELICIANA,8.4,2013,109.9,20,15455,10
22125_2014,WEST FELICIANA,9,2014,^,^,15372,20
22125_2015,WEST FELICIANA,9,2015,101.6,20,15376,22
22125_2016,WEST FELICIANA,8.9,2016,85.7,17,15322,8
22125_2017,WEST FELICIANA,8.7,2017,^,^,15373,12
22125_2018,WEST FELICIANA,9.2,2018,^,^,15474,6
22125_2019,WEST FELICIANA,8.5,2019,^,^,15570,10
22127_2010,WINN,9.7,2010,103.4,18,15302,58
22127_2011,WINN,9.3,2011,88.5,16,15155,73
22127_2012,WINN,9.3,2012,^,^,15105,73
22127_2013,WINN,9.3,2013,^,^,14852,53
22127_2014,WINN,9.4,2014,^,^,14823,50
22127_2015,WINN,9.1,2015,^,^,14646,39
22127_2016,WINN,8.9,2016,^,^,14539,48
22127_2017,WINN,9.2,2017,^,^,14355,52
22127_2018,WINN,9.6,2018,106.3,22,14132,53
22127_2019,WINN,9,2019,^,^,13961,42
